"","pi"
"BTBD19",0.00361501419952928
"ELAVL2",0.471900625201242
"RHOV",0.00311676546842454
"SERPINE3",0.00350135298559515
"PSG9",0.00349949654239538
"UNC93B1",0.00173034470211275
"MIDN",0.497644402159238
"HCRTR1",0.0037752022762819
"ASB4",0.00888346726876265
"CDH12",0.0103683399363173
"HOXD1",0.00350135298559515
"SIGLEC8",0.000228243140123811
"SLC35A2",0.00538207397673799
"ZNF548",0.0432984431087858
"DOCK8",0.000125474533014848
"TBPL2",0.00350135298559515
"CORO1C",0.315356789809041
"DNAJC8",0.173490933223262
"CLPTM1",0.00230506253124943
"ANP32D",0.00350135298559515
"ANKEF1",0.00347222639324362
"SCNM1",0.00939572678475
"NUDT6",0.00429709349651011
"OSBPL3",0.00505904418917789
"GNG11",0.0357549994198943
"PLEKHO1",0.0286047389456735
"ETV2",0.00290806234502845
"EPCAM",0.00840095342017475
"CTAGE1",0.0042846504244556
"THBS4",0.00335140997705612
"YBX1",0.312988421270796
"HRAS",0.00199376409968628
"ZNF26",0.00142573714417083
"TBL3",0.00235781887328477
"ITPRIPL1",0.00420948330713389
"ZNF813",0.0081952517460833
"YIF1B",0.00287948817608758
"GNAI1",0.0320835927011787
"VSTM2L",0.00144217532823301
"OASL",0.00370823359305557
"KREMEN1",0.00842527180775692
"ZNF286A",0.00425498736668171
"ADCY7",0.00751946855038091
"ZNF211",0.0108090444651668
"ZNF488",0.00536093453996557
"DCP1A",0.0738827231013354
"SHISA9",5.95478127303203e-05
"MEX3B",0.289687288562812
"CHAMP1",0.0403508265659783
"C3orf58",0.18844067801626
"PPP6C",0.00603516258526964
"WDR26",0.0780429794662736
"PRDM5",0.00256415793735399
"RFTN1",0.060424135342081
"PACRG",0.00429685056465254
"DERA",0.00221391678286728
"MAZ",0.00277594414910483
"KIAA0825",0.000363687755012548
"PCOLCE",0.00645908065456982
"LMAN1L",0.00350135298559515
"KLHDC2",0.0109335421509627
"CRHBP",0.00493560046936651
"HAPLN3",0.00518968205052258
"UQCRC2",0.245791691050619
"MRE11",0.00350135298559515
"RASSF2",0.00373276490252994
"NHLRC4",0.00346181735160537
"CUEDC1",0.0489129550249677
"ANKRD53",0.00362532919207687
"TRIM73",0.00350135298559515
"TAPBP",0.000139807458584989
"TMEM151A",0.00773104730505741
"HIST1H2BH",0.000605131097794082
"ZNF354C",0.00353692047280244
"ANTXR2",0.00314810760743019
"PHF23",0.00568369019412096
"DENND2C",0.00675790206341461
"ZIC2",0.00730143660947818
"CCDC43",0.00112043175647248
"MSTN",0.00383006203200478
"GIMAP8",0.00548804275244529
"SLC25A30",0.00578862314410455
"CCDC125",0.00195986100658274
"L1TD1",0.00255862306739896
