"","real.log.BF"
"SIGLEC8",-9.51090716005151
"SLC35A2",-6.46128862487909
"ZNF548",-4.23416544168791
"DOCK8",-14.3852194739156
"TBPL2",-6.85873993332965
"CORO1C",-2.7196298684447
"DNAJC8",0.0103521238546831
"CLPTM1",-6.24263156008213
"ANP32D",-5.80258026549299
"ANKEF1",-7.67100536395874
"SCNM1",-5.82325751124684
"NUDT6",-6.61944257871016
"OSBPL3",-8.14616076546588
"GNG11",-3.44748440381264
"PLEKHO1",-4.70932534793163
"ETV2",-7.00544607457354
"EPCAM",-3.23319712910972
"CTAGE1",-6.58694370781043
"THBS4",-5.89884729902917
"YBX1",-1.97049069425338
"HRAS",-5.77594960696636
"ZNF26",-4.98422515245162
"TBL3",-8.92968458471744
"ITPRIPL1",-6.63272190560477
"ZNF813",-5.94925951529259
"YIF1B",-7.12010065723874
"GNAI1",-5.31736006390862
"VSTM2L",-7.75053460865918
"OASL",-6.77637207749911
"KREMEN1",-6.01753021636118
"ZNF286A",-4.7746937552482
"ADCY7",-9.75461820204966
"ZNF211",-5.69918344852486
"ZNF488",-6.4071995628624
"DCP1A",-3.6953676040586
"SHISA9",-10.9395796918683
"MEX3B",4.27436075309849
"CHAMP1",-4.34509439717321
"C3orf58",-2.69419461926343
"PPP6C",-6.38983418481507
"WDR26",-5.39347945570222
"PRDM5",-8.00365028594695
"RFTN1",-3.97123693373921
"PACRG",-6.71630694524007
"DERA",-7.41023720167765
"MAZ",-4.3491708992083
"KIAA0825",-10.8197297901876
"PCOLCE",-6.30022701783809
"LMAN1L",-4.16019629261563
"KLHDC2",-5.79586429897208
"CRHBP",-6.61065806314533
"HAPLN3",-6.5272817779689
"UQCRC2",-2.39192981872893
"MRE11",-4.19149400052805
"RASSF2",-6.85242673768125
"NHLRC4",-5.88357176408568
"CUEDC1",-4.24358146959127
"ANKRD53",-6.86338131762519
"TRIM73",-5.87733345096335
"TAPBP",-10.1013303057337
"TMEM151A",-6.21390088999854
"HIST1H2BH",-7.63991621800291
"ZNF354C",-6.89817360861895
